company,role_title,job_link,applied_date,status,job_text,summary,skills,salary
cat@myworkday.com,Application Received for R0000335361 Digital Data Analyst,,2025-11-26,Applied,"Caterpillar Careers Banner Dear Adil, Thank you for applying for the position of R0000335361 Digital Data Analyst. You are one step closer to joining the team that helps our customers build a better",,,
earlywarning@myworkday.com,Thank you for applying with Early Warning Services.,,2025-11-23,Applied,"Dear Adil, Thank you for applying to the Data Scientist I opportunity. If your background matches what we are looking for, we will reach out to you to discuss next steps. Thank you again for",,,
Morningstar Workday <morningstar@myworkday.com>,Thank you for applying to Morningstar!,,2025-11-19,Applied,"Thank you for your interest in Morningstar and the time you&#39;ve invested in applying for this role. We&#39;re passionate about empowering investor success, and we&#39;re excited to see you are too!",,,
HumanResources@ttiofusa.com,Application Received for Job #25-01231,,2025-11-04,Applied,"Dear Candidate, This message is to acknowledge receipt of your resume. We greatly appreciate your interest in the position. Your resume will be considered for our current and future opportunities.",,,
no-reply@us.greenhouse-mail.io,Thank you for applying to SimpliSafe,,2025-11-05,Applied,"Hi Adil, Thanks for checking us out and applying for the Analytics Engineer position with SimpliSafe! Your application has been received and we will review it right away. If we see a match for the",,,
do-not-reply adobe <adobe@myworkday.com>,Thank you for Applying to Adobe,,2025-11-01,Applied,"Hi Adil, Thank you for taking the time to apply for the R158865 2026 University Graduate - Data Scientist role. We&#39;re fortunate to have received a lot of interest in this role, resulting in a very",,,
Morningstar Workday <morningstar@myworkday.com>,Thank you for applying to Morningstar,,2025-10-29,Applied,"Hi Adil Ghoghawala , Thank you for your interest in Morningstar! We received your application and are in the process of reviewing your information. If we are interested in moving forward with your",,,
Crowe Careers <recruiting@jobalerts.crowe.com>,Thank you for applying! Next Steps - Action Required,,2025-10-29,Applied,"Crowe Image Hi Adil, Thank you so much for completing your application for the Data Analytics Developer role at Crowe. We look forward to the opportunity to review your profile and see if it aligns",,,
KEYENCE Talent Team <system@successfactors.com>,Application Received - KEYENCE Corporation,,2025-10-27,Applied,"Hello Adil, Thank you for your interest in KEYENCE Corporation. Your application for the Data Scientist position is currently under review. Our Talent Team may reach out via phone, text, or email. If",,,
"""Airbus Human Resources (Do Not Reply)"" <ag@myworkday.com>",AIRBUS - Thank you for applying !,,2025-10-27,Applied,"Subject: Adil Ghoghawala ‎- JR10360762 Data Science Engineer (CAND13039244) Dear Adil Ghoghawala , Thank you for taking the time to complete your application for our Data Science Engineer role. You are",,,
